
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..b._bootstrap>:564 module_from_spec  257    0.001051  0.024795  0.000096
..parsing.py:4847 Optional.parseImpl  64/52  0.000159  0.024787  0.000387
..ges/numba/core/imputils.py:188 imp  8      0.000161  0.024310  0.003039
...py:538 HPacker.get_extent_offsets  26/11  0.000523  0.024297  0.000934
..np/arrayobj.py:3348 _empty_nd_impl  4      0.000199  0.024069  0.006017
..r/lib/python3.6/abc.py:132 __new__  562    0.007990  0.024015  0.000043
..scipy/optimize/_shgo.py:3 <module>  1      0.000018  0.023824  0.023824
../python3.6/posixpath.py:168 islink  4796   0.009103  0.023570  0.000005
..lotlib/offsetbox.py:544 <listcomp>  26/11  0.000071  0.023349  0.000898
..ages/numba/core/cgutils.py:873 gep  339    0.002401  0.023258  0.000069
..ba/core/entrypoints.py:10 init_all  19     0.000025  0.023183  0.001220
..tcher._compilation_chain_init_hook  1      0.000004  0.023170  0.023170
..esources/__init__.py:638 <genexpr>  1      0.000443  0.023154  0.023154
..d_agg.py:188 RendererAgg.draw_text  35     0.000597  0.023113  0.000660
..454 TypeInferer.resolve_value_type  141    0.000240  0.023001  0.000163
..rsing.py:4249 MatchFirst.parseImpl  46/10  0.000325  0.022964  0.000499
..xy_list(float64)<iv=None>.__init__  122    0.001529  0.022940  0.000188
...py:772 PreLowerStripPhis.run_pass  6      0.000109  0.022928  0.003821
..ap>:318 _installed_safely.__exit__  257    0.021158  0.022909  0.000089
..istobj.py:194 ListInstance.setitem  20     0.000160  0.022906  0.001145
.._utils.py:24 NameScope.deduplicate  4713   0.013045  0.022746  0.000005
..ext.py:532 Context._rate_arguments  874    0.004610  0.022732  0.000026
..python3.6/functools.py:802 wrapper  267    0.000726  0.022633  0.000085
..x.py:344 VPacker.get_window_extent  3      0.000029  0.022473  0.007491
...py:460 VPacker.get_extent_offsets  10/6   0.000191  0.022451  0.002245
..DistInfoDistribution.get_entry_map  188    0.000725  0.022421  0.000119
..py/spatial/__init__.py:94 <module>  1      0.000041  0.022278  0.022278
..ib/axis.py:899 XAxis.set_clip_path  4      0.000041  0.022255  0.005564
..tplotlib/text.py:127 Text.__init__  98     0.001308  0.022192  0.000226
..ffsetbox.py:339 HPacker.get_extent  27/8   0.000076  0.022051  0.000817
..lotlib/offsetbox.py:471 <listcomp>  10/6   0.000037  0.021982  0.002198
..bootstrap_external>:1149 find_spec  263    0.000441  0.021880  0.000083
.. _GeneratorContextManager.__exit__  286..  0.006447  0.021876  0.000008
..a/core/cgutils.py:866 gep_inbounds  281    0.000658  0.021770  0.000077
..ite/ir/builder.py:755 Builder.load  836    0.003496  0.021748  0.000026
..re/typing/cffi_utils.py:5 <module>  1      0.000041  0.021657  0.021657
..numba/np/arrayobj.py:4335 np_array  1      0.000022  0.021634  0.021634
..ckages/cffi/api.py:41 FFI.__init__  1      0.000093  0.021477  0.021477
..bootstrap_external>:1117 _get_spec  263    0.001326  0.021440  0.000082
..loat64)<iv=None>._get_ptr_by_index  269    0.000434  0.021405  0.000080
..fsetbox.py:882 TextArea.get_extent  21     0.000256  0.021276  0.001013
..sources/__init__.py:2523 parse_map  188    0.000662  0.021199  0.000113
..tlib/font_manager.py:713 _from_any  124    0.000355  0.020783  0.000168
